experience_level,job_title,salary_in_usd,remote_ratio,company_location,company_size,gender,location,salary_currency,salary,bonus_stocks_usd
SE,Research Scientist,132500.0,0.0,,M,Unknown,,,,
MI,Data Analyst,134500.0,0.0,,M,Unknown,,,,
MI,Data Analyst,100000.0,0.0,,M,Unknown,,,,
SE,Research Scientist,258100.0,0.0,,M,Unknown,,,,
SE,Research Scientist,151900.0,0.0,,M,Unknown,,,,
EX,Data Science,300000.0,100.0,,M,Unknown,,,,
EX,Data Science,220000.0,100.0,,M,Unknown,,,,
SE,Data Analyst,200000.0,100.0,,M,Unknown,,,,
SE,Data Analyst,145000.0,100.0,,M,Unknown,,,,
SE,Research Scientist,323300.0,0.0,,M,Unknown,,,,
SE,Research Scientist,184700.0,0.0,,M,Unknown,,,,
SE,Data Scientist,253430.0,0.0,,M,Unknown,,,,
SE,Data Scientist,212780.0,0.0,,M,Unknown,,,,
MI,Data Scientist,130000.0,100.0,,M,Unknown,,,,
MI,Data Scientist,110000.0,100.0,,M,Unknown,,,,
SE,ML Engineer,300000.0,0.0,,M,Unknown,,,,
SE,ML Engineer,130000.0,0.0,,M,Unknown,,,,
SE,Research Scientist,278700.0,0.0,,M,Unknown,,,,
SE,Research Scientist,159300.0,0.0,,M,Unknown,,,,
EN,Data Analytics Manager,27000.0,100.0,,M,Unknown,,,,
MI,Data Scientist,119200.0,100.0,,M,Unknown,,,,
MI,Data Scientist,86600.0,100.0,,M,Unknown,,,,
MI,Data Scientist,166000.0,0.0,,M,Unknown,,,,
MI,Data Scientist,73100.0,0.0,,M,Unknown,,,,
MI,Data Scientist,212000.0,0.0,,M,Unknown,,,,
MI,Data Scientist,93300.0,0.0,,M,Unknown,,,,
SE,Data Analyst,96600.0,0.0,,M,Unknown,,,,
SE,Data Analyst,55200.0,0.0,,M,Unknown,,,,
MI,Data Science,132600.0,0.0,,M,Unknown,,,,
MI,Data Science,80845.0,0.0,,M,Unknown,,,,
EN,Data Scientist,144200.0,0.0,,M,Unknown,,,,
EN,Data Scientist,72100.0,0.0,,M,Unknown,,,,
MI,Data Scientist,212000.0,0.0,,M,Unknown,,,,
MI,Data Scientist,93300.0,0.0,,M,Unknown,,,,
EN,Research Analyst,100144.0,0.0,,M,Unknown,,,,
EN,Research Analyst,78308.0,0.0,,M,Unknown,,,,
SE,Data Scientist,212000.0,0.0,,M,Unknown,,,,
SE,Data Scientist,93300.0,0.0,,M,Unknown,,,,
SE,Data Scientist,66666.0,0.0,,M,Unknown,,,,
SE,Data Scientist,53333.0,0.0,,M,Unknown,,,,
SE,Business Intelligence Analyst,112125.0,100.0,,M,Unknown,,,,
SE,Business Intelligence Analyst,67275.0,100.0,,M,Unknown,,,,
MI,Data Scientist,166000.0,0.0,,M,Unknown,,,,
MI,Data Scientist,73100.0,0.0,,M,Unknown,,,,
EN,Data Analyst,114000.0,0.0,,M,Unknown,,,,
EN,Data Analyst,75000.0,0.0,,M,Unknown,,,,
SE,Data Scientist,200070.0,0.0,,M,Unknown,,,,
SE,Data Scientist,107730.0,0.0,,M,Unknown,,,,
MI,Data Engineer,220000.0,0.0,,M,Unknown,,,,
MI,Data Engineer,140000.0,0.0,,M,Unknown,,,,
SE,Data Analyst,100000.0,0.0,,M,Unknown,,,,
SE,Data Analyst,80000.0,0.0,,M,Unknown,,,,
MI,Data Science,287800.0,0.0,,M,Unknown,,,,
MI,Data Science,287800.0,0.0,,M,Unknown,,,,
SE,Data Engineer,166000.0,0.0,,M,Unknown,,,,
SE,Data Engineer,73100.0,0.0,,M,Unknown,,,,
SE,Data Analyst,187770.0,0.0,,M,Unknown,,,,
SE,Data Analyst,109500.0,0.0,,M,Unknown,,,,
EN,Data Analyst,93750.0,0.0,,M,Unknown,,,,
EN,Data Analyst,68750.0,0.0,,M,Unknown,,,,
SE,Data Science,177300.0,0.0,,M,Unknown,,,,
SE,Data Science,126500.0,0.0,,M,Unknown,,,,
MI,Data Science Practitioner,145100.0,0.0,,M,Unknown,,,,
MI,Data Science Practitioner,93900.0,0.0,,M,Unknown,,,,
SE,Machine Learning Engineer,245000.0,100.0,,M,Unknown,,,,
SE,Machine Learning Engineer,163000.0,100.0,,M,Unknown,,,,
SE,Data Scientist,189100.0,0.0,,M,Unknown,,,,
SE,Data Scientist,154360.0,0.0,,M,Unknown,,,,
MI,Data Engineer,159250.0,0.0,,M,Unknown,,,,
MI,Data Engineer,85750.0,0.0,,M,Unknown,,,,
SE,Data Scientist,152000.0,0.0,,M,Unknown,,,,
SE,Data Scientist,133200.0,0.0,,M,Unknown,,,,
EN,Data Analyst,83333.0,0.0,,M,Unknown,,,,
SE,Data Scientist,225000.0,0.0,,M,Unknown,,,,
SE,Data Scientist,156400.0,0.0,,M,Unknown,,,,
SE,Data Engineer,197000.0,0.0,,M,Unknown,,,,
SE,Data Engineer,99000.0,0.0,,M,Unknown,,,,
SE,Applied Scientist,256100.0,0.0,,M,Unknown,,,,
SE,Applied Scientist,137900.0,0.0,,M,Unknown,,,,
SE,Business Intelligence Analyst,67993.0,0.0,,M,Unknown,,,,
SE,Business Intelligence Analyst,42457.0,0.0,,M,Unknown,,,,
MI,Research Scientist,212800.0,0.0,,L,Unknown,,,,
MI,Research Scientist,124100.0,0.0,,L,Unknown,,,,
SE,Data Architect,220000.0,0.0,,M,Unknown,,,,
SE,Data Architect,200000.0,0.0,,M,Unknown,,,,
SE,Machine Learning Engineer,300000.0,100.0,,M,Unknown,,,,
SE,Machine Learning Engineer,235000.0,100.0,,M,Unknown,,,,
SE,ML Engineer,262269.0,100.0,,M,Unknown,,,,
SE,ML Engineer,230797.0,100.0,,M,Unknown,,,,
EN,Data Scientist,40000.0,0.0,,M,Unknown,,,,
EN,Data Scientist,40000.0,0.0,,M,Unknown,,,,
SE,Data Analyst,152000.0,0.0,,M,Unknown,,,,
SE,Data Analyst,126667.0,0.0,,M,Unknown,,,,
EN,Data Analyst,90000.0,100.0,,M,Unknown,,,,
EN,Data Analyst,75000.0,100.0,,M,Unknown,,,,
EN,Data Analyst,115000.0,0.0,,M,Unknown,,,,
EN,Data Analyst,90000.0,0.0,,M,Unknown,,,,
MI,Machine Learning Scientist,750000.0,0.0,,M,Unknown,,,,
MI,Machine Learning Scientist,150000.0,0.0,,M,Unknown,,,,
SE,Data Engineer,247300.0,0.0,,M,Unknown,,,,
SE,Data Engineer,139700.0,0.0,,M,Unknown,,,,
MI,Research Engineer,360000.0,0.0,,M,Unknown,,,,
MI,Research Engineer,295000.0,0.0,,M,Unknown,,,,
MI,AI Engineer,200000.0,0.0,,M,Unknown,,,,
MI,AI Engineer,151000.0,0.0,,M,Unknown,,,,
SE,Data Scientist,170000.0,100.0,,M,Unknown,,,,
SE,Data Scientist,130000.0,100.0,,M,Unknown,,,,
SE,Data Analyst,140000.0,0.0,,M,Unknown,,,,
SE,Data Analyst,115000.0,0.0,,M,Unknown,,,,
MI,Data Analyst,105000.0,0.0,,M,Unknown,,,,
MI,Data Analyst,78575.0,0.0,,M,Unknown,,,,
MI,Data Engineer,130000.0,0.0,,L,Unknown,,,,
MI,Data Engineer,66666.0,0.0,,L,Unknown,,,,
SE,Data Engineer,175000.0,100.0,,M,Unknown,,,,
SE,Data Engineer,140000.0,100.0,,M,Unknown,,,,
SE,Data Science,276000.0,0.0,,M,Unknown,,,,
SE,Data Science,140000.0,0.0,,M,Unknown,,,,
SE,Data Analyst,173000.0,0.0,,M,Unknown,,,,
SE,Data Analyst,102000.0,0.0,,M,Unknown,,,,
SE,Analytics Engineer,66250.0,0.0,,M,Unknown,,,,
SE,Analytics Engineer,57000.0,0.0,,M,Unknown,,,,
MI,Data Scientist,188500.0,0.0,,M,Unknown,,,,
MI,Data Scientist,165100.0,0.0,,M,Unknown,,,,
MI,AI Engineer,166000.0,0.0,,M,Unknown,,,,
MI,AI Engineer,73100.0,0.0,,M,Unknown,,,,
SE,Machine Learning Engineer,414000.0,0.0,,M,Unknown,,,,
SE,Machine Learning Engineer,216000.0,0.0,,M,Unknown,,,,
MI,Research Scientist,96200.0,100.0,,M,Unknown,,,,
MI,Research Scientist,69800.0,100.0,,M,Unknown,,,,
MI,Data Scientist,179000.0,0.0,,M,Unknown,,,,
MI,Data Scientist,112000.0,0.0,,M,Unknown,,,,
EN,Data Analyst,118750.0,0.0,,M,Unknown,,,,
EN,Data Analyst,106875.0,0.0,,M,Unknown,,,,
MI,Data Scientist,212800.0,0.0,,L,Unknown,,,,
MI,Data Scientist,111600.0,0.0,,L,Unknown,,,,
MI,Data Engineer,92248.0,0.0,,M,Unknown,,,,
MI,Data Engineer,64574.0,0.0,,M,Unknown,,,,
SE,ML Engineer,212000.0,0.0,,M,Unknown,,,,
SE,ML Engineer,93300.0,0.0,,M,Unknown,,,,
EN,Machine Learning Engineer,162240.0,0.0,,M,Unknown,,,,
EN,Machine Learning Engineer,47840.0,0.0,,M,Unknown,,,,
MI,Applied Scientist,222200.0,0.0,,L,Unknown,,,,
MI,Applied Scientist,136000.0,0.0,,L,Unknown,,,,
SE,Data Product Manager,170000.0,100.0,,M,Unknown,,,,
SE,Data Product Manager,145000.0,100.0,,M,Unknown,,,,
SE,Data Analyst,117000.0,0.0,,M,Unknown,,,,
SE,Data Analyst,93000.0,0.0,,M,Unknown,,,,
MI,Data Engineer,81250.0,0.0,,M,Unknown,,,,
MI,Data Engineer,68750.0,0.0,,M,Unknown,,,,
SE,Data Engineer,130000.0,0.0,,M,Unknown,,,,
SE,Data Engineer,110000.0,0.0,,M,Unknown,,,,
SE,Machine Learning Engineer,190400.0,0.0,,M,Unknown,,,,
SE,Machine Learning Engineer,122900.0,0.0,,M,Unknown,,,,
SE,Machine Learning Engineer,221000.0,0.0,,M,Unknown,,,,
SE,Machine Learning Engineer,185000.0,0.0,,M,Unknown,,,,
SE,Data Engineer,220000.0,0.0,,M,Unknown,,,,
SE,Data Engineer,170000.0,0.0,,M,Unknown,,,,
MI,Machine Learning Engineer,210100.0,0.0,,M,Unknown,,,,
MI,Machine Learning Engineer,210100.0,0.0,,M,Unknown,,,,
SE,BI Analyst,130000.0,0.0,,M,Unknown,,,,
SE,BI Analyst,115000.0,0.0,,M,Unknown,,,,
MI,Data Engineer,170000.0,100.0,,M,Unknown,,,,
MI,Data Engineer,90000.0,100.0,,M,Unknown,,,,
MI,MLOps Engineer,280000.0,0.0,,M,Unknown,,,,
MI,MLOps Engineer,160000.0,0.0,,M,Unknown,,,,
SE,Data Scientist,255475.0,100.0,,M,Unknown,,,,
SE,Data Scientist,185800.0,100.0,,M,Unknown,,,,
SE,Data Scientist,170000.0,0.0,,M,Unknown,,,,
SE,Data Scientist,151000.0,0.0,,M,Unknown,,,,
SE,Data Analyst,130000.0,0.0,,M,Unknown,,,,
SE,Data Analyst,100000.0,0.0,,M,Unknown,,,,
SE,Business Intelligence Engineer,185000.0,0.0,,L,Unknown,,,,
SE,Business Intelligence Engineer,79600.0,0.0,,L,Unknown,,,,
MI,Data Analyst,95000.0,0.0,,M,Unknown,,,,
MI,Data Analyst,65000.0,0.0,,M,Unknown,,,,
SE,Data Scientist,240000.0,0.0,,M,Unknown,,,,
SE,Data Scientist,162000.0,0.0,,M,Unknown,,,,
EN,Data Science,110400.0,0.0,,M,Unknown,,,,
EN,Data Science,68000.0,0.0,,M,Unknown,,,,
SE,Machine Learning Engineer,307100.0,100.0,,M,Unknown,,,,
SE,Machine Learning Engineer,216800.0,100.0,,M,Unknown,,,,
EN,Data Analyst,102000.0,100.0,,M,Unknown,,,,
EN,Data Analyst,92000.0,100.0,,M,Unknown,,,,
MI,Applied Scientist,222200.0,0.0,,L,Unknown,,,,
MI,Applied Scientist,136000.0,0.0,,L,Unknown,,,,
SE,Data Engineer,190000.0,100.0,,M,Unknown,,,,
SE,Data Engineer,136000.0,100.0,,M,Unknown,,,,
MI,Machine Learning Engineer,165000.0,100.0,,M,Unknown,,,,
MI,Machine Learning Engineer,140250.0,100.0,,M,Unknown,,,,
SE,Data Scientist,160000.0,0.0,,M,Unknown,,,,
SE,Data Scientist,130000.0,0.0,,M,Unknown,,,,
SE,Data Analyst,190000.0,0.0,,M,Unknown,,,,
SE,Data Analyst,190000.0,0.0,,M,Unknown,,,,
SE,Data Manager,131200.0,100.0,,M,Unknown,,,,
SE,Data Manager,95300.0,100.0,,M,Unknown,,,,
MI,Data Scientist,150000.0,100.0,,M,Unknown,,,,
MI,Data Scientist,127500.0,100.0,,M,Unknown,,,,
MI,Data Engineer,51446.0,0.0,,M,Unknown,,,,
MI,Data Engineer,45775.0,0.0,,M,Unknown,,,,
SE,Data Scientist,136000.0,100.0,,M,Unknown,,,,
SE,Data Scientist,109000.0,100.0,,M,Unknown,,,,
MI,Data Science,104000.0,0.0,,M,Unknown,,,,
MI,Data Science,86000.0,0.0,,M,Unknown,,,,
EX,Head of Data,195000.0,0.0,,M,Unknown,,,,
EX,Head of Data,150000.0,0.0,,M,Unknown,,,,
SE,Data Science,237500.0,0.0,,M,Unknown,,,,
SE,Data Science,185000.0,0.0,,M,Unknown,,,,
SE,Data Analyst,120000.0,0.0,,M,Unknown,,,,
SE,Data Analyst,100000.0,0.0,,M,Unknown,,,,
MI,Business Intelligence Engineer,165600.0,0.0,,L,Unknown,,,,
MI,Business Intelligence Engineer,65800.0,0.0,,L,Unknown,,,,
SE,Data Engineer,245000.0,100.0,,M,Unknown,,,,
SE,Data Engineer,194992.0,100.0,,M,Unknown,,,,
EN,Data Analyst,154000.0,0.0,,M,Unknown,,,,
EN,Data Analyst,105000.0,0.0,,M,Unknown,,,,
SE,ML Engineer,250800.0,0.0,,M,Unknown,,,,
SE,ML Engineer,167200.0,0.0,,M,Unknown,,,,
SE,Admin & Data Analyst,60000.0,100.0,,M,Unknown,,,,
MI,Research Engineer,34549.0,50.0,,L,Unknown,,,,
MI,Data Analyst,160000.0,100.0,,M,Unknown,,,,
MI,Data Analyst,55000.0,100.0,,M,Unknown,,,,
SE,Data Engineer,149000.0,100.0,,M,Unknown,,,,
SE,Data Engineer,108000.0,100.0,,M,Unknown,,,,
SE,Data Scientist,165000.0,0.0,,M,Unknown,,,,
SE,Data Scientist,155000.0,0.0,,M,Unknown,,,,
SE,Data Scientist,278700.0,0.0,,M,Unknown,,,,
SE,Data Scientist,159300.0,0.0,,M,Unknown,,,,
MI,Analytics Engineer,162500.0,100.0,,M,Unknown,,,,
MI,Analytics Engineer,115000.0,100.0,,M,Unknown,,,,
MI,Data Scientist,138000.0,0.0,,M,Unknown,,,,
MI,Data Scientist,86000.0,0.0,,M,Unknown,,,,
EN,Data Analyst,106960.0,0.0,,M,Unknown,,,,
EN,Data Analyst,66820.0,0.0,,M,Unknown,,,,
MI,Research Scientist,157900.0,0.0,,M,Unknown,,,,
MI,Research Scientist,128900.0,0.0,,M,Unknown,,,,
SE,Machine Learning Engineer,258450.0,0.0,,M,Unknown,,,,
SE,Machine Learning Engineer,173400.0,0.0,,M,Unknown,,,,
SE,Data Science,160000.0,100.0,,M,Unknown,,,,
SE,Data Science,150000.0,100.0,,M,Unknown,,,,
EN,Data Analyst,138000.0,0.0,,M,Unknown,,,,
EN,Data Analyst,86000.0,0.0,,M,Unknown,,,,
MI,Data Scientist,199700.0,0.0,,M,Unknown,,,,
MI,Data Scientist,114100.0,0.0,,M,Unknown,,,,
SE,Data Scientist,130000.0,0.0,,M,Unknown,,,,
SE,Data Scientist,115000.0,0.0,,M,Unknown,,,,
MI,Data Analyst,120000.0,0.0,,M,Unknown,,,,
MI,Data Analyst,105000.0,0.0,,M,Unknown,,,,
SE,Data Analyst,136000.0,100.0,,M,Unknown,,,,
SE,Data Analyst,109000.0,100.0,,M,Unknown,,,,
MI,Machine Learning Engineer,210100.0,0.0,,M,Unknown,,,,
MI,Machine Learning Engineer,210100.0,0.0,,M,Unknown,,,,
SE,Analytics Engineer,172800.0,100.0,,M,Unknown,,,,
SE,Analytics Engineer,110000.0,100.0,,M,Unknown,,,,
EN,Data Analyst,101000.0,0.0,,M,Unknown,,,,
EN,Data Analyst,63000.0,0.0,,M,Unknown,,,,
SE,Data Scientist,193000.0,0.0,,M,Unknown,,,,
SE,Data Scientist,172000.0,0.0,,M,Unknown,,,,
MI,Machine Learning Engineer,175000.0,0.0,,M,Unknown,,,,
MI,Machine Learning Engineer,152000.0,0.0,,M,Unknown,,,,
SE,Machine Learning Scientist,186153.0,0.0,,M,Unknown,,,,
SE,Machine Learning Scientist,165384.0,0.0,,M,Unknown,,,,
SE,Data Scientist,208500.0,0.0,,M,Unknown,,,,
SE,Data Scientist,165000.0,0.0,,M,Unknown,,,,
MI,Data Scientist,172200.0,100.0,,M,Unknown,,,,
MI,Data Scientist,131200.0,100.0,,M,Unknown,,,,
SE,Business Intelligence Developer,156000.0,0.0,,M,Unknown,,,,
SE,Business Intelligence Developer,105267.0,0.0,,M,Unknown,,,,
SE,Data Engineer,226000.0,0.0,,M,Unknown,,,,
SE,Data Engineer,132000.0,0.0,,M,Unknown,,,,
EN,Data Analyst,108000.0,0.0,,M,Unknown,,,,
EN,Data Analyst,72200.0,0.0,,M,Unknown,,,,
SE,Data Engineer,247500.0,100.0,,M,Unknown,,,,
SE,Data Engineer,172200.0,100.0,,M,Unknown,,,,
SE,Data Scientist,215000.0,0.0,,M,Unknown,,,,
SE,Data Scientist,146900.0,0.0,,M,Unknown,,,,
SE,Data Science,270250.0,0.0,,M,Unknown,,,,
SE,Data Science,144000.0,0.0,,M,Unknown,,,,
SE,AI Engineer,212000.0,0.0,,M,Unknown,,,,
SE,AI Engineer,93300.0,0.0,,M,Unknown,,,,
SE,Data Integration Developer,180000.0,0.0,,M,Unknown,,,,
SE,Data Integration Developer,121056.0,0.0,,M,Unknown,,,,
MI,Data Management Analyst,124935.0,0.0,,M,Unknown,,,,
MI,Data Management Analyst,76050.0,0.0,,M,Unknown,,,,
MI,Data Engineer,115500.0,0.0,,M,Unknown,,,,
MI,Data Engineer,100000.0,0.0,,M,Unknown,,,,
SE,Data Integration Developer,156000.0,0.0,,M,Unknown,,,,
SE,Data Integration Developer,105267.0,0.0,,M,Unknown,,,,
MI,Data Science,250000.0,0.0,,M,Unknown,,,,
MI,Data Science,90100.0,0.0,,M,Unknown,,,,
MI,Data Scientist,166000.0,0.0,,M,Unknown,,,,
MI,Data Scientist,73000.0,0.0,,M,Unknown,,,,
SE,Machine Learning Engineer,237600.0,0.0,,M,Unknown,,,,
SE,Machine Learning Engineer,146900.0,0.0,,M,Unknown,,,,
MI,ML Ops Engineer,198000.0,0.0,,M,Unknown,,,,
MI,ML Ops Engineer,114800.0,0.0,,M,Unknown,,,,
SE,Data Analyst,150000.0,0.0,,M,Unknown,,,,
SE,Data Analyst,140000.0,0.0,,M,Unknown,,,,
SE,Data Scientist,138000.0,0.0,,M,Unknown,,,,
SE,Data Scientist,86000.0,0.0,,M,Unknown,,,,
MI,Data Engineer,205600.0,0.0,,L,Unknown,,,,
MI,Data Engineer,105700.0,0.0,,L,Unknown,,,,
SE,Data Scientist,226000.0,0.0,,M,Unknown,,,,
SE,Data Scientist,132000.0,0.0,,M,Unknown,,,,
MI,Data Analyst,154000.0,0.0,,M,Unknown,,,,
MI,Data Analyst,105000.0,0.0,,M,Unknown,,,,
SE,Machine Learning Engineer,255800.0,0.0,,M,Unknown,,,,
SE,Machine Learning Engineer,255800.0,0.0,,M,Unknown,,,,
SE,Data Scientist,155000.0,0.0,,M,Unknown,,,,
SE,Data Scientist,132000.0,0.0,,M,Unknown,,,,
SE,Data Engineer,185000.0,0.0,,M,Unknown,,,,
SE,Data Engineer,130000.0,0.0,,M,Unknown,,,,
MI,BI Developer,54532.0,0.0,,M,Unknown,,,,
MI,BI Developer,43628.0,0.0,,M,Unknown,,,,
SE,Data Engineer,226000.0,0.0,,M,Unknown,,,,
SE,Data Engineer,132000.0,0.0,,M,Unknown,,,,
SE,Data Scientist,136300.0,0.0,,M,Unknown,,,,
SE,Data Scientist,115900.0,0.0,,M,Unknown,,,,
